,id,title,release_date,vote_average
5374,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5375,346,Seven Samurai,1954-04-26,8.5
5376,769,GoodFellas,1990-09-12,8.458
5377,12477,Grave of the Fireflies,1988-04-16,8.453
5378,157336,Interstellar,2014-11-05,8.4
5379,637,Life Is Beautiful,1997-12-20,8.448
5380,278,The Shawshank Redemption,1994-09-23,8.708
5381,238,The Godfather,1972-03-14,8.689
5382,240,The Godfather Part II,1974-12-20,8.6
5383,424,Schindler's List,1993-12-15,8.567
5384,389,12 Angry Men,1957-04-10,8.546
5385,129,Spirited Away,2001-07-20,8.5
5386,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5387,155,The Dark Knight,2008-07-16,8.519
5388,497,The Green Mile,1999-12-10,8.506
5389,496243,Parasite,2019-05-30,8.5
5390,680,Pulp Fiction,1994-09-10,8.488
5391,372058,Your Name.,2016-08-26,8.486
5392,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5393,13,Forrest Gump,1994-06-23,8.469
5394,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5395,346,Seven Samurai,1954-04-26,8.5
5396,769,GoodFellas,1990-09-12,8.458
5397,12477,Grave of the Fireflies,1988-04-16,8.453
5398,157336,Interstellar,2014-11-05,8.4
5399,637,Life Is Beautiful,1997-12-20,8.448
5400,278,The Shawshank Redemption,1994-09-23,8.708
5401,238,The Godfather,1972-03-14,8.689
5402,240,The Godfather Part II,1974-12-20,8.6
5403,424,Schindler's List,1993-12-15,8.567
5404,389,12 Angry Men,1957-04-10,8.546
5405,129,Spirited Away,2001-07-20,8.5
5406,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5407,155,The Dark Knight,2008-07-16,8.519
5408,497,The Green Mile,1999-12-10,8.506
5409,496243,Parasite,2019-05-30,8.5
5410,680,Pulp Fiction,1994-09-10,8.488
5411,372058,Your Name.,2016-08-26,8.486
5412,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5413,13,Forrest Gump,1994-06-23,8.469
